participant,Instrument,play,familiar,vivid,rumbling-low,soft-singing,watery-fluid,direct-loud,nasal-reedy,shrill-noisy,percussive,pure-clear,brassy-metallic,raspy-grainy,ringing-long_decay,sparkling-brilliant,airy-breathy,resonant-vibrant,hollow,woody,muted-veiled,sustained-even,open,focused-compact
16,clarinet,No,Extremely familiar,18,2,5,3,2,1,1,1,7,1,1,2,4,4,3,3,5,4,7,5,5
20,clarinet,No,Extremely familiar,19,2,6,7,3,5,5,1,7,1,2,4,6,6,5,4,3,4,7,7,7
21,clarinet,No,Very familiar,18,1,5,1,1,5,5,1,1,1,2,2,1,5,3,3,7,1,7,3,3
24,clarinet,No,Moderately familiar,18,1,3,5,6,6,6,1,5,1,1,2,1,5,5,5,6,5,6,3,1
29,clarinet,No,Moderately familiar,17,1,4,1,3,3,4,1,4,1,1,4,3,2,5,4,6,2,6,5,6
35,clarinet,No,Moderately familiar,17,2,6,3,1,1,1,1,7,1,1,6,4,1,7,1,5,1,6,7,6
37,clarinet,No,Very familiar,18,2,6,5,2,6,1,2,5,1,4,3,4,2,4,3,6,1,3,6,6
38,clarinet,No,Extremely familiar,19,1,7,1,5,1,1,1,7,1,2,4,1,3,5,7,6,2,7,7,5
42,clarinet,No,Very familiar,17,1,5,5,3,2,1,1,5,1,1,1,2,6,3,6,6,5,5,5,2
47,clarinet,No,Very familiar,19,2,7,5,7,5,4,1,7,1,2,5,4,6,6,5,4,5,7,6,5
51,clarinet,No,Extremely familiar,19,1,7,6,4,4,2,1,6,1,1,1,1,4,5,5,6,4,7,4,7
53,clarinet,No,Extremely familiar,19,1,7,2,4,1,1,1,7,1,1,7,6,4,7,1,5,2,7,4,7
54,clarinet,No,Extremely familiar,19,6,6,7,3,2,4,2,7,1,2,5,5,5,5,5,6,5,5,6,4
55,clarinet,Yes,Moderately familiar,18,1,4,5,5,4,4,1,5,1,1,4,5,3,4,3,2,4,5,3,4
56,clarinet,Yes,Extremely familiar,19,1,6,3,7,7,6,2,7,1,2,7,7,4,7,4,7,3,7,6,7
58,clarinet,Yes,Extremely familiar,19,3,6,1,4,5,5,1,6,1,1,4,5,3,7,4,7,5,6,7,4
61,clarinet,Yes,Extremely familiar,19,1,5,3,4,3,3,1,4,1,3,3,2,4,5,2,5,4,5,2,4
68,clarinet,No,Extremely familiar,19,1,4,5,7,7,5,1,7,2,1,3,3,5,6,1,6,2,6,3,5
76,clarinet,No,Very familiar,18,5,7,3,5,5,5,2,7,3,5,6,5,6,5,7,7,6,5,7,3
77,clarinet,No,Extremely familiar,19,5,7,1,1,6,1,1,2,1,3,1,1,7,5,1,7,6,5,5,1
80,clarinet,No,Moderately familiar,17,3,6,5,2,4,2,1,5,2,1,3,2,2,3,5,6,4,5,6,3
81,clarinet,No,Extremely familiar,18,1,5,3,2,1,5,1,5,1,1,5,5,4,5,5,6,1,4,5,6
82,clarinet,Yes,Very familiar,18,1,5,7,6,3,4,1,5,2,2,3,6,5,5,6,6,4,6,6,5
83,clarinet,No,Extremely familiar,19,1,5,3,5,7,5,1,4,1,5,1,3,6,4,6,6,6,4,4,5
88,clarinet,Yes,Extremely familiar,18,2,3,2,4,1,1,1,5,1,1,3,1,4,5,2,7,3,7,5,5
101,clarinet,No,Moderately familiar,18,2,5,3,4,6,4,2,3,2,3,3,3,6,6,5,5,4,4,5,3
107,clarinet,No,Extremely familiar,19,2,6,6,3,4,5,1,6,3,2,3,4,6,5,3,6,2,5,6,6
108,clarinet,No,Moderately familiar,16,3,6,2,5,4,1,1,5,1,4,7,4,4,6,3,3,1,4,5,3
111,clarinet,No,Very familiar,17,1,5,4,3,5,6,2,3,3,1,3,5,5,4,5,2,3,4,5,5
112,clarinet,No,Very familiar,17,1,6,2,5,7,6,1,5,3,1,5,2,1,6,5,7,2,4,5,6
116,clarinet,No,Very familiar,19,2,6,3,2,6,3,1,3,2,5,2,2,6,3,6,7,5,6,3,4
119,clarinet,No,Extremely familiar,19,2,5,5,5,3,4,3,3,1,3,1,3,5,4,2,6,3,6,5,3
123,clarinet,No,Very familiar,18,5,6,6,1,1,1,2,5,2,3,6,5,6,5,6,7,2,6,6,3
124,clarinet,No,Very familiar,18,3,6,4,5,6,3,4,5,1,3,2,6,5,5,6,6,3,7,6,5
126,clarinet,Yes,Extremely familiar,19,1,6,5,2,2,1,1,6,1,2,3,4,4,5,6,6,2,6,6,3
139,clarinet,No,Very familiar,18,6,6,4,4,4,5,3,5,1,1,2,1,3,6,4,7,5,6,5,6
146,clarinet,No,Very familiar,17,1,4,5,3,6,2,1,3,1,1,1,2,3,4,7,7,3,6,3,6
172,clarinet,No,Moderately familiar,16,1,5,2,2,1,1,1,2,1,1,3,2,2,1,1,4,1,3,2,1
173,clarinet,No,Extremely familiar,19,4,6,2,5,6,5,2,6,1,2,2,5,3,5,3,3,3,5,4,5
178,clarinet,No,Very familiar,18,1,1,4,5,6,5,1,2,1,1,2,2,5,2,5,5,1,2,5,6
188,clarinet,No,Very familiar,17,4,6,4,3,3,1,3,5,1,2,2,3,6,5,5,3,3,5,4,5
194,clarinet,No,Very familiar,19,1,5,3,7,1,2,1,7,1,1,1,5,1,7,1,4,1,7,7,7
196,clarinet,No,Very familiar,18,1,6,5,2,6,5,1,4,1,1,1,2,3,3,3,3,6,5,4,2
205,clarinet,Yes,Extremely familiar,18,1,7,2,5,5,5,2,5,1,3,1,6,4,5,4,6,2,2,4,3
208,clarinet,Yes,Very familiar,18,1,7,1,3,4,1,3,6,1,1,4,6,1,6,2,5,1,7,6,6
209,clarinet,Yes,Very familiar,19,1,1,2,2,5,5,1,3,1,1,1,2,5,5,3,6,2,3,4,1
212,clarinet,Yes,Extremely familiar,19,2,5,6,5,5,4,1,6,1,1,1,6,4,7,5,6,4,5,4,5
216,clarinet,No,Moderately familiar,19,1,6,1,1,1,1,1,6,1,1,7,4,4,7,4,6,1,7,7,1
218,clarinet,No,Very familiar,16,4,6,3,5,1,1,2,6,1,2,2,6,3,6,1,2,2,6,6,4
222,clarinet,No,Very familiar,18,1,6,6,3,7,5,1,6,1,1,4,5,6,6,7,6,7,2,5,1
227,clarinet,No,Extremely familiar,19,1,5,7,1,2,5,1,4,1,1,1,2,7,4,5,5,5,2,2,2
233,clarinet,No,Moderately familiar,19,1,6,7,5,5,5,1,6,1,2,2,5,5,5,2,6,1,6,6,5
235,clarinet,Yes,Extremely familiar,19,3,7,6,6,4,3,2,7,1,1,7,5,4,5,1,6,6,7,7,4
237,clarinet,No,Extremely familiar,19,1,7,7,1,6,4,1,6,1,1,1,5,7,6,7,7,7,7,7,5
240,clarinet,No,Extremely familiar,19,3,6,5,6,3,3,1,5,1,3,3,5,4,6,3,6,1,6,6,3
2,alto-saxophone,No,Moderately familiar,16,2,4,3,4,6,5,2,3,4,4,4,3,5,4,3,5,1,3,3,4
4,alto-saxophone,No,Extremely familiar,19,2,4,5,5,5,1,1,6,2,2,4,6,5,6,4,6,1,5,5,6
7,alto-saxophone,No,Very familiar,16,1,5,6,1,2,2,1,6,3,1,5,3,5,5,4,3,2,6,5,5
20,alto-saxophone,No,Very familiar,18,2,5,6,5,5,5,1,6,5,6,6,6,6,6,4,2,2,5,6,5
23,alto-saxophone,Yes,Extremely familiar,19,2,5,6,5,1,1,1,7,3,1,6,6,1,7,4,4,1,6,7,2
24,alto-saxophone,Yes,Extremely familiar,19,6,6,5,6,5,7,1,5,1,1,1,1,5,7,1,1,1,6,6,1
26,alto-saxophone,No,Very familiar,18,3,6,6,4,3,4,2,6,4,2,5,7,3,6,2,4,2,5,5,4
27,alto-saxophone,No,Very familiar,18,1,4,2,1,5,4,1,3,4,3,2,7,4,5,2,1,1,2,3,4
30,alto-saxophone,No,Moderately familiar,16,2,5,5,2,6,3,1,3,3,2,5,5,6,6,3,2,4,5,3,3
34,alto-saxophone,No,Very familiar,17,2,5,2,4,5,3,1,5,3,2,2,4,5,5,3,2,3,5,5,2
35,alto-saxophone,No,Moderately familiar,17,4,5,1,6,1,1,1,6,1,1,5,3,1,7,1,3,1,6,5,6
40,alto-saxophone,No,Moderately familiar,16,1,7,2,3,7,1,2,5,5,5,7,6,6,5,3,4,4,5,7,4
41,alto-saxophone,No,Very familiar,18,2,6,4,5,5,1,1,6,5,2,3,2,2,5,1,5,6,6,3,6
50,alto-saxophone,No,Extremely familiar,18,1,7,1,7,2,7,7,7,7,1,5,6,1,7,5,1,1,7,4,6
51,alto-saxophone,No,Extremely familiar,19,1,6,4,6,6,5,1,7,5,5,1,4,3,4,1,1,1,6,4,7
56,alto-saxophone,No,Extremely familiar,18,1,4,5,7,7,6,1,3,6,4,6,6,6,7,5,3,3,2,5,2
60,alto-saxophone,No,Extremely familiar,18,3,3,5,5,3,2,5,5,5,2,6,4,5,5,2,1,2,5,5,2
65,alto-saxophone,No,Very familiar,18,1,6,1,5,6,1,3,2,6,5,5,1,2,6,1,4,1,5,2,3
67,alto-saxophone,No,Very familiar,17,1,3,1,6,7,6,1,5,7,1,1,3,5,6,5,2,2,3,6,4
70,alto-saxophone,No,Moderately familiar,17,2,6,1,3,5,2,2,3,6,2,5,5,5,6,5,4,4,5,3,4
71,alto-saxophone,Yes,Extremely familiar,19,1,2,3,4,3,2,2,4,4,2,5,3,5,5,3,2,3,5,4,4
74,alto-saxophone,No,Extremely familiar,19,1,4,3,6,4,2,2,6,5,3,6,6,4,7,3,5,2,6,4,5
75,alto-saxophone,Yes,Very familiar,18,3,5,3,5,6,6,4,3,6,6,5,5,6,5,4,5,4,6,4,5
80,alto-saxophone,No,Moderately familiar,16,2,6,4,3,5,3,2,6,6,1,5,6,5,6,4,2,3,6,5,6
84,alto-saxophone,No,Very familiar,18,1,5,1,1,7,6,1,1,7,4,7,4,7,4,1,1,1,4,4,1
86,alto-saxophone,No,Very familiar,18,1,3,3,4,6,6,2,2,5,5,4,5,5,5,2,3,2,4,2,4
87,alto-saxophone,No,Extremely familiar,19,1,7,4,4,5,1,1,6,4,4,1,1,6,4,1,4,4,7,4,1
88,alto-saxophone,No,Extremely familiar,18,2,2,3,4,3,2,2,3,5,4,5,6,5,7,2,1,2,4,3,5
93,alto-saxophone,Yes,Extremely familiar,19,1,5,4,1,5,5,1,5,6,1,4,6,7,5,3,4,2,4,4,4
96,alto-saxophone,No,Moderately familiar,17,2,5,5,1,4,4,1,4,6,4,6,5,4,5,4,3,3,6,2,3
114,alto-saxophone,No,Moderately familiar,16,2,4,3,5,5,4,1,2,2,5,3,5,5,4,3,3,2,3,3,5
115,alto-saxophone,No,Extremely familiar,19,1,2,2,6,7,4,1,5,5,5,5,5,5,5,1,4,2,7,5,5
119,alto-saxophone,No,Very familiar,19,1,4,3,5,5,2,2,3,4,4,3,4,5,3,2,4,3,6,5,4
126,alto-saxophone,No,Moderately familiar,17,1,5,2,6,7,5,5,6,4,4,5,6,5,3,2,2,2,6,2,6
128,alto-saxophone,Yes,Extremely familiar,19,1,7,1,6,4,4,1,7,7,1,6,7,1,7,1,1,1,7,7,5
140,alto-saxophone,No,Very familiar,17,1,1,2,6,7,5,3,1,6,6,2,4,6,3,1,1,1,3,2,4
141,alto-saxophone,Yes,Extremely familiar,18,1,4,5,6,5,2,2,5,6,2,3,6,2,5,3,1,3,5,5,3
144,alto-saxophone,No,Very familiar,19,1,3,3,7,5,1,1,3,7,5,3,4,5,1,1,1,1,5,3,5
146,alto-saxophone,No,Moderately familiar,16,4,2,2,6,6,5,1,2,6,6,3,5,6,5,4,4,1,6,5,6
147,alto-saxophone,No,Extremely familiar,19,2,4,3,6,4,3,3,5,5,3,2,6,4,6,2,2,2,5,4,5
156,alto-saxophone,No,Very familiar,17,2,6,3,7,6,5,1,2,4,5,1,6,6,6,2,3,2,4,4,4
158,alto-saxophone,Yes,Extremely familiar,19,5,4,1,5,5,4,2,5,1,4,5,4,1,6,1,2,1,5,7,5
163,alto-saxophone,Yes,Extremely familiar,18,3,2,3,6,6,5,1,2,6,4,4,2,6,5,2,3,2,3,3,2
166,alto-saxophone,No,Very familiar,19,2,4,4,6,1,1,1,6,1,1,6,4,4,6,3,3,2,7,5,2
180,alto-saxophone,No,Moderately familiar,16,2,2,3,6,5,3,3,2,4,4,3,4,6,5,5,5,2,5,2,4
182,alto-saxophone,No,Very familiar,17,2,3,1,6,5,5,1,5,5,2,2,5,6,3,2,2,1,7,5,6
191,alto-saxophone,No,Extremely familiar,19,5,5,5,4,6,6,2,4,5,5,5,5,5,5,4,3,4,5,5,5
196,alto-saxophone,No,Moderately familiar,17,1,7,6,4,2,1,1,6,2,1,1,4,2,5,4,3,2,5,5,2
200,alto-saxophone,No,Very familiar,19,1,7,1,7,7,1,1,4,1,1,2,6,6,7,1,5,1,7,5,6
218,alto-saxophone,Yes,Moderately familiar,17,4,6,3,6,1,1,1,6,1,2,4,2,5,6,2,2,2,6,6,4
219,alto-saxophone,No,Extremely familiar,19,1,4,3,2,4,2,1,3,3,1,2,2,2,4,1,2,1,5,4,3
227,alto-saxophone,Yes,Extremely familiar,19,1,5,6,1,1,4,1,5,4,2,1,5,7,3,1,3,1,4,3,3
229,alto-saxophone,Yes,Extremely familiar,19,1,6,4,2,4,3,3,5,4,1,1,4,3,5,4,3,1,5,5,6
230,alto-saxophone,No,Extremely familiar,18,2,4,1,6,4,4,1,4,2,2,5,2,5,5,4,1,4,6,4,2
231,alto-saxophone,Yes,Extremely familiar,19,1,5,1,7,1,1,1,7,1,1,1,7,1,7,1,1,1,7,1,7
232,alto-saxophone,No,Extremely familiar,19,2,3,6,4,4,5,2,6,5,4,4,5,5,6,2,3,2,6,5,4
233,alto-saxophone,Yes,Extremely familiar,19,2,3,3,7,6,5,1,3,5,5,6,3,4,7,6,5,1,6,6,7
234,alto-saxophone,No,Very familiar,17,2,4,4,7,3,5,1,3,2,1,1,1,2,5,1,1,1,6,5,3
238,alto-saxophone,No,Moderately familiar,17,1,6,5,3,4,5,1,3,5,2,4,6,6,6,4,4,2,6,4,5
240,alto-saxophone,No,Extremely familiar,17,2,4,3,6,5,6,1,5,3,2,6,6,4,6,2,2,3,4,5,4
2,tenor-saxophone,Yes,Very familiar,18,5,4,2,6,4,4,2,4,3,5,3,2,3,4,4,6,1,4,4,5
4,tenor-saxophone,No,Extremely familiar,18,5,2,4,3,3,2,1,5,2,5,4,2,5,5,3,5,3,5,5,3
15,tenor-saxophone,No,Very familiar,17,4,2,1,7,6,6,1,2,2,6,4,2,2,3,1,1,1,4,2,2
16,tenor-saxophone,No,Very familiar,18,1,1,1,5,7,6,4,4,5,1,6,5,1,7,1,4,1,6,1,7
20,tenor-saxophone,No,Moderately familiar,18,5,4,3,7,7,7,2,4,4,6,3,4,7,6,3,1,2,5,5,3
24,tenor-saxophone,Yes,Extremely familiar,19,7,6,1,7,6,1,1,6,1,1,1,1,3,6,1,1,1,6,5,5
25,tenor-saxophone,No,Moderately familiar,18,1,3,5,4,6,4,1,4,4,5,3,1,5,7,5,5,5,3,6,3
26,tenor-saxophone,No,Very familiar,18,2,2,2,4,2,2,3,3,5,5,4,4,3,4,2,3,2,4,3,4
32,tenor-saxophone,Yes,Extremely familiar,19,6,4,2,7,3,6,1,6,5,4,6,5,2,7,2,1,5,6,6,5
36,tenor-saxophone,Yes,Extremely familiar,19,1,2,3,6,7,6,2,3,2,6,3,2,6,5,2,6,2,4,1,2
45,tenor-saxophone,No,Moderately familiar,17,4,3,5,5,4,5,4,3,4,6,4,2,5,6,3,5,4,5,3,4
47,tenor-saxophone,No,Very familiar,19,3,5,5,6,5,2,1,6,1,2,4,6,6,5,5,5,2,5,5,4
51,tenor-saxophone,No,Extremely familiar,19,1,2,1,6,7,6,4,1,5,6,1,3,5,5,1,5,2,6,3,5
56,tenor-saxophone,No,Extremely familiar,17,1,2,5,6,7,6,2,3,6,5,5,4,6,7,3,3,3,1,4,2
59,tenor-saxophone,No,Very familiar,18,5,4,1,5,5,4,4,4,4,2,5,4,6,6,5,4,3,5,1,4
61,tenor-saxophone,No,Extremely familiar,18,4,5,2,5,1,1,1,4,3,2,2,2,3,5,1,1,1,5,5,3
67,tenor-saxophone,No,Moderately familiar,17,1,6,2,6,6,1,1,5,5,6,2,2,6,6,4,5,2,5,4,4
75,tenor-saxophone,No,Extremely familiar,18,2,3,3,6,7,6,3,3,5,7,1,5,6,4,1,5,2,5,2,5
80,tenor-saxophone,No,Moderately familiar,16,2,6,3,5,3,1,2,6,6,1,6,3,3,5,4,2,1,6,5,5
88,tenor-saxophone,Yes,Extremely familiar,19,1,1,3,6,3,3,1,2,5,5,5,3,6,6,4,2,3,6,2,4
93,tenor-saxophone,No,Extremely familiar,19,5,6,6,5,6,4,1,6,6,4,4,4,6,7,6,6,2,4,4,4
98,tenor-saxophone,No,Extremely familiar,19,1,2,1,7,4,4,1,4,2,6,1,3,5,5,1,2,1,3,3,3
106,tenor-saxophone,No,Moderately familiar,17,3,6,1,2,5,1,1,4,4,5,1,2,5,6,2,3,1,6,5,2
107,tenor-saxophone,No,Very familiar,18,1,5,4,5,3,3,1,6,2,3,4,6,5,4,1,3,2,6,6,7
116,tenor-saxophone,Yes,Very familiar,19,5,2,1,4,5,4,3,4,1,6,5,1,5,5,5,5,3,4,3,6
128,tenor-saxophone,Yes,Extremely familiar,19,4,6,1,7,1,4,1,7,7,7,1,1,5,1,1,1,1,7,7,1
130,tenor-saxophone,No,Moderately familiar,16,1,6,2,4,6,1,1,5,5,3,6,2,2,6,1,1,3,5,2,5
136,tenor-saxophone,No,Moderately familiar,17,6,5,5,7,5,5,1,5,6,3,2,4,5,5,5,3,2,5,2,7
139,tenor-saxophone,No,Very familiar,17,6,6,5,6,5,3,4,4,6,6,3,2,5,4,1,3,4,5,2,2
149,tenor-saxophone,No,Extremely familiar,19,6,5,2,7,6,3,3,3,4,5,2,1,7,6,5,5,3,5,4,2
160,tenor-saxophone,No,Moderately familiar,18,2,2,1,4,7,5,1,5,3,3,3,2,4,2,5,3,2,5,2,3
164,tenor-saxophone,No,Very familiar,18,4,5,3,5,4,3,1,3,6,4,3,4,6,6,5,5,3,6,5,3
167,tenor-saxophone,No,Moderately familiar,17,6,1,2,7,6,3,2,2,1,6,2,1,7,2,1,1,5,2,6,1
176,tenor-saxophone,No,Moderately familiar,16,6,2,2,7,5,2,4,5,4,6,2,3,3,3,4,1,1,5,3,6
179,tenor-saxophone,No,Extremely familiar,19,1,3,1,4,4,6,3,1,6,7,1,3,5,6,1,6,1,4,1,4
180,tenor-saxophone,No,Very familiar,18,5,2,2,5,5,5,4,4,5,4,3,3,5,6,3,5,5,5,2,5
188,tenor-saxophone,No,Moderately familiar,16,2,5,3,5,3,4,2,5,5,3,3,3,5,6,3,3,3,5,3,4
189,tenor-saxophone,No,Very familiar,17,4,5,3,4,4,1,1,4,1,5,4,1,5,4,4,2,3,5,5,1
192,tenor-saxophone,No,Very familiar,18,2,5,5,5,6,5,5,6,5,5,5,6,5,6,3,6,3,5,5,5
194,tenor-saxophone,Yes,Very familiar,19,7,5,2,5,1,1,1,5,6,1,1,1,1,7,2,1,1,7,6,3
204,tenor-saxophone,No,Moderately familiar,16,4,2,2,5,6,6,3,3,5,6,2,3,3,4,5,5,4,5,3,4
216,tenor-saxophone,No,Very familiar,17,1,5,1,4,6,3,1,6,4,1,5,4,3,4,1,1,2,7,1,4
220,tenor-saxophone,No,Extremely familiar,19,4,1,1,7,5,6,2,2,5,4,3,2,4,2,1,6,1,3,2,1
221,tenor-saxophone,Yes,Extremely familiar,19,5,5,3,5,6,3,2,2,5,5,2,3,5,5,5,3,3,3,5,5
222,tenor-saxophone,No,Moderately familiar,17,1,6,1,6,6,6,1,6,5,6,3,6,6,3,3,6,1,2,6,5
225,tenor-saxophone,Yes,Extremely familiar,17,4,3,3,6,3,5,2,4,6,5,5,4,4,5,2,3,2,6,4,6
231,tenor-saxophone,Yes,Extremely familiar,19,1,6,1,6,4,1,1,5,1,3,2,5,1,6,1,2,1,6,1,4
232,tenor-saxophone,No,Extremely familiar,18,5,2,3,5,5,5,1,4,4,3,3,4,2,5,2,2,1,5,5,2
235,tenor-saxophone,Yes,Extremely familiar,18,4,2,2,7,5,7,5,3,6,5,3,5,7,5,1,1,3,4,3,4
238,tenor-saxophone,No,Very familiar,18,2,6,6,3,6,1,1,6,4,2,4,5,5,6,2,4,2,6,3,3
1,baritone-saxophone,No,Very familiar,16,7,1,2,7,7,7,2,1,7,7,4,1,4,6,6,4,4,5,2,3
9,baritone-saxophone,Yes,Extremely familiar,19,6,2,1,7,1,1,1,5,5,7,5,2,2,7,2,3,1,7,6,6
10,baritone-saxophone,No,Extremely familiar,18,7,5,1,7,2,1,1,5,1,2,1,4,1,6,1,2,4,6,5,2
19,baritone-saxophone,No,Moderately familiar,16,6,2,1,5,2,1,1,1,2,3,4,1,5,4,4,5,1,4,3,2
21,baritone-saxophone,Yes,Extremely familiar,19,7,1,3,7,2,1,1,3,1,5,1,1,5,5,1,1,1,4,5,1
23,baritone-saxophone,Yes,Extremely familiar,19,5,4,3,7,2,1,1,3,5,1,7,4,4,7,1,5,1,5,6,3
26,baritone-saxophone,No,Very familiar,18,7,2,2,6,5,5,5,2,4,6,4,3,4,7,2,6,2,4,4,2
27,baritone-saxophone,Yes,Very familiar,17,6,1,3,6,4,2,1,1,7,4,2,3,6,4,1,1,3,3,2,1
28,baritone-saxophone,No,Extremely familiar,19,6,5,1,3,5,2,1,4,2,6,3,3,6,6,4,3,2,5,4,2
29,baritone-saxophone,No,Moderately familiar,16,5,1,1,5,4,3,2,3,1,5,3,2,4,4,4,5,3,2,3,2
31,baritone-saxophone,No,Very familiar,18,5,2,3,3,6,6,1,2,5,7,4,2,6,4,4,3,3,5,5,3
38,baritone-saxophone,No,Moderately familiar,17,7,2,1,5,7,3,1,1,3,7,2,1,5,4,1,1,4,5,4,2
44,baritone-saxophone,No,Moderately familiar,16,6,2,2,6,5,2,2,2,4,5,2,1,3,4,2,1,3,4,3,4
47,baritone-saxophone,No,Very familiar,19,6,5,5,7,5,2,4,5,3,4,5,4,6,6,5,5,4,6,6,4
63,baritone-saxophone,No,Moderately familiar,16,7,6,6,7,4,1,6,4,2,7,2,1,2,6,2,5,4,6,5,2
82,baritone-saxophone,No,Moderately familiar,16,5,4,2,5,6,5,1,1,6,6,3,2,7,5,5,6,5,5,5,2
92,baritone-saxophone,No,Moderately familiar,18,6,3,4,6,3,5,5,3,6,2,4,5,4,6,2,3,2,5,5,5
94,baritone-saxophone,No,Extremely familiar,19,7,3,1,7,3,5,5,1,7,1,6,1,6,5,6,2,1,5,6,3
95,baritone-saxophone,No,Extremely familiar,19,7,2,1,7,3,5,3,4,3,6,1,2,2,4,1,6,2,3,7,2
106,baritone-saxophone,No,Moderately familiar,18,6,6,1,1,5,1,3,3,4,5,1,3,5,6,1,3,2,6,5,2
119,baritone-saxophone,No,Very familiar,18,5,2,3,5,2,5,3,5,5,5,2,4,5,5,3,3,3,6,3,5
120,baritone-saxophone,No,Moderately familiar,17,6,5,2,6,5,1,2,4,5,6,2,2,4,6,5,7,5,3,4,3
137,baritone-saxophone,No,Very familiar,19,6,4,1,7,4,4,3,6,6,4,2,3,4,6,2,4,1,5,6,4
139,baritone-saxophone,No,Very familiar,18,7,5,4,7,6,5,3,2,5,7,3,3,4,3,2,4,1,4,3,3
146,baritone-saxophone,No,Moderately familiar,18,6,5,5,6,2,4,1,1,7,6,2,4,6,5,2,2,1,5,6,4
147,baritone-saxophone,No,Extremely familiar,19,7,3,2,6,5,3,5,3,6,5,2,2,5,6,4,2,2,4,5,4
158,baritone-saxophone,No,Extremely familiar,19,6,1,1,6,2,5,5,4,4,5,3,2,1,5,1,1,1,6,4,4
165,baritone-saxophone,No,Extremely familiar,19,7,5,3,7,6,5,3,5,6,6,3,6,4,6,3,4,2,6,6,5
180,baritone-saxophone,No,Moderately familiar,17,7,2,6,5,5,2,2,3,4,2,3,3,5,6,2,5,4,4,4,4
182,baritone-saxophone,No,Moderately familiar,17,6,2,2,6,1,1,2,4,6,5,6,3,4,7,5,1,1,3,6,3
184,baritone-saxophone,No,Extremely familiar,19,7,4,5,7,5,5,6,5,6,5,2,5,4,6,3,5,3,6,4,2
186,baritone-saxophone,No,Very familiar,18,7,1,3,7,6,4,6,4,5,7,3,1,5,4,3,6,4,4,5,3
189,baritone-saxophone,No,Moderately familiar,16,6,3,1,5,3,1,1,2,1,4,2,1,5,2,4,4,4,4,4,2
190,baritone-saxophone,No,Very familiar,19,6,1,1,6,6,4,4,1,3,5,2,1,1,3,3,5,1,1,4,2
192,baritone-saxophone,No,Moderately familiar,18,6,2,3,7,6,5,3,5,5,5,3,2,5,6,3,7,3,5,5,3
194,baritone-saxophone,No,Very familiar,19,7,1,1,1,1,1,1,5,3,1,1,1,1,6,1,1,1,7,5,2
200,baritone-saxophone,No,Very familiar,17,7,2,1,7,4,2,1,5,1,7,5,1,6,7,1,5,1,7,6,5
212,baritone-saxophone,No,Extremely familiar,19,7,2,1,7,6,5,1,2,4,6,1,1,4,4,5,2,1,4,2,2
221,baritone-saxophone,Yes,Extremely familiar,19,6,3,5,5,5,3,2,3,5,6,2,3,3,5,5,3,3,3,5,3
224,baritone-saxophone,No,Moderately familiar,16,7,1,1,5,5,5,1,1,4,6,5,1,4,5,4,4,5,5,4,1
230,baritone-saxophone,Yes,Very familiar,18,5,3,1,6,5,1,1,4,2,5,6,2,4,5,5,2,4,6,6,2
236,baritone-saxophone,No,Moderately familiar,16,3,3,1,5,4,3,2,3,2,3,1,1,4,6,2,3,2,3,2,2
237,baritone-saxophone,No,Very familiar,18,7,4,3,5,6,1,1,1,5,7,1,2,7,7,1,6,1,7,5,2
241,baritone-saxophone,No,Very familiar,18,7,4,1,4,4,1,2,2,5,6,1,1,5,4,3,3,4,3,2,1
243,baritone-saxophone,No,Very familiar,18,7,1,2,6,6,1,2,2,1,6,1,2,2,5,2,5,2,2,2,2
1,soprano-saxophone,No,Moderately familiar,16,1,6,3,6,5,4,1,4,5,5,5,5,4,6,2,2,2,5,4,5
9,soprano-saxophone,Yes,Extremely familiar,19,1,7,2,6,1,4,1,7,4,1,6,7,1,7,2,2,3,7,2,5
10,soprano-saxophone,No,Very familiar,19,2,5,1,6,4,7,2,6,3,1,2,3,5,5,2,2,1,6,2,7
14,soprano-saxophone,No,Moderately familiar,17,1,4,1,3,3,5,1,4,1,1,6,6,4,6,2,6,1,5,4,2
15,soprano-saxophone,No,Moderately familiar,17,1,4,2,2,4,5,2,5,2,1,2,6,2,2,5,1,1,4,2,4
19,soprano-saxophone,No,Moderately familiar,16,1,5,2,1,6,6,1,2,1,1,5,5,6,5,3,6,1,4,3,3
21,soprano-saxophone,No,Very familiar,19,1,6,7,5,5,4,1,3,1,1,4,3,5,7,1,5,1,5,6,3
23,soprano-saxophone,Yes,Extremely familiar,19,1,5,4,7,3,3,4,7,6,1,6,6,1,5,1,3,1,6,3,2
36,soprano-saxophone,Yes,Extremely familiar,19,1,5,2,3,6,2,1,5,1,5,2,3,3,6,3,3,3,3,4,6
50,soprano-saxophone,No,Moderately familiar,18,1,6,2,5,1,6,4,7,7,1,6,7,1,7,4,1,1,6,7,6
52,soprano-saxophone,No,Moderately familiar,17,1,5,3,4,6,5,1,5,6,3,4,5,1,5,1,6,4,3,2,6
53,soprano-saxophone,No,Extremely familiar,19,4,7,2,5,2,2,1,7,4,1,7,6,5,7,2,3,4,7,5,6
55,soprano-saxophone,No,Moderately familiar,17,1,5,5,3,2,2,1,5,2,2,5,5,5,5,2,2,4,5,4,5
57,soprano-saxophone,No,Moderately familiar,18,1,1,5,7,7,7,2,5,5,1,4,4,4,6,2,1,1,5,4,6
58,soprano-saxophone,No,Very familiar,19,1,6,1,1,1,1,1,7,5,1,4,6,3,6,1,2,4,3,5,6
